"name","spectrum_id","feature_idx","precursor_mz","precursor_rt","n_peaks","ID","feature_name","feature_mz","feature_rt","in_top_500","rank","label","full_label","display_label","cluster","size"
"815","feat_364_spec_2",364,242.99117,8.622,13,1711,"3-Phosphonooxypyruvic acid",242.99117,8.622,FALSE,NA,"F364_S2","3-Phosphonooxypyruvic acid
242.99 m/z @ 8.62 min",NA,44,3.98039215686275
"816","feat_364_spec_3",364,242.99117,8.622,25,1711,"3-Phosphonooxypyruvic acid",242.99117,8.622,FALSE,NA,"F364_S3","3-Phosphonooxypyruvic acid
242.99 m/z @ 8.62 min",NA,44,5.15686274509804
"817","feat_364_spec_4",364,242.99117,8.622,13,1711,"3-Phosphonooxypyruvic acid",242.99117,8.622,FALSE,NA,"F364_S4","3-Phosphonooxypyruvic acid
242.99 m/z @ 8.62 min",NA,44,3.98039215686275
"818","feat_366_spec_1",366,183.01606,5.293,19,1524,"5-hydroxyisouric acid",183.01606,5.293,FALSE,NA,"F366_S1","5-hydroxyisouric acid
183.02 m/z @ 5.29 min",NA,2,4.56862745098039
"820","feat_366_spec_3",366,183.01606,5.293,29,1524,"5-hydroxyisouric acid",183.01606,5.293,FALSE,NA,"F366_S3","5-hydroxyisouric acid
183.02 m/z @ 5.29 min",NA,2,5.54901960784314
"821","feat_366_spec_4",366,183.01606,5.293,27,1524,"5-hydroxyisouric acid",183.01606,5.293,FALSE,NA,"F366_S4","5-hydroxyisouric acid
183.02 m/z @ 5.29 min",NA,73,5.35294117647059
"822","feat_368_spec_1",368,183.0161,3.868,23,1235,"5-hydroxyisouric acid",183.0161,3.868,FALSE,NA,"F368_S1","5-hydroxyisouric acid
183.02 m/z @ 3.87 min",NA,74,4.96078431372549
"824","feat_368_spec_3",368,183.0161,3.868,19,1235,"5-hydroxyisouric acid",183.0161,3.868,FALSE,NA,"F368_S3","5-hydroxyisouric acid
183.02 m/z @ 3.87 min",NA,74,4.56862745098039
"828","feat_374_spec_1",374,184.00013,4.016,26,508,NA,184.00013,4.016,FALSE,NA,"F374_S1","Feature 374
184 m/z @ 4.02 min",NA,2,5.25490196078431
"829","feat_374_spec_2",374,184.00013,4.016,20,508,NA,184.00013,4.016,FALSE,NA,"F374_S2","Feature 374
184 m/z @ 4.02 min",NA,75,4.66666666666667
"830","feat_374_spec_3",374,184.00013,4.016,22,508,NA,184.00013,4.016,FALSE,NA,"F374_S3","Feature 374
184 m/z @ 4.02 min",NA,2,4.86274509803922
"831","feat_374_spec_4",374,184.00013,4.016,12,508,NA,184.00013,4.016,FALSE,NA,"F374_S4","Feature 374
184 m/z @ 4.02 min",NA,75,3.88235294117647
"832","feat_377_spec_1",377,185.07481,5.609,18,3346,NA,185.07481,5.609,FALSE,NA,"F377_S1","Feature 377
185.07 m/z @ 5.61 min",NA,15,4.47058823529412
"833","feat_377_spec_2",377,185.07481,5.609,15,3346,NA,185.07481,5.609,FALSE,NA,"F377_S2","Feature 377
185.07 m/z @ 5.61 min",NA,15,4.17647058823529
"834","feat_377_spec_3",377,185.07481,5.609,15,3346,NA,185.07481,5.609,FALSE,NA,"F377_S3","Feature 377
185.07 m/z @ 5.61 min",NA,15,4.17647058823529
"835","feat_377_spec_4",377,185.07481,5.609,19,3346,NA,185.07481,5.609,FALSE,NA,"F377_S4","Feature 377
185.07 m/z @ 5.61 min",NA,76,4.56862745098039
"836","feat_378_spec_1",378,185.07486,5.342,15,4825,NA,185.07486,5.342,FALSE,NA,"F378_S1","Feature 378
185.07 m/z @ 5.34 min",NA,15,4.17647058823529
"837","feat_378_spec_2",378,185.07486,5.342,12,4825,NA,185.07486,5.342,FALSE,NA,"F378_S2","Feature 378
185.07 m/z @ 5.34 min",NA,15,3.88235294117647
"838","feat_378_spec_3",378,185.07486,5.342,10,4825,NA,185.07486,5.342,FALSE,NA,"F378_S3","Feature 378
185.07 m/z @ 5.34 min",NA,15,3.68627450980392
"839","feat_378_spec_4",378,185.07486,5.342,15,4825,NA,185.07486,5.342,FALSE,NA,"F378_S4","Feature 378
185.07 m/z @ 5.34 min",NA,15,4.17647058823529
"842","feat_382_spec_1",382,186.07729,6.81,15,626,"NP-019722",186.07729,6.81,FALSE,NA,"F382_S1","NP-019722
186.08 m/z @ 6.81 min",NA,28,4.17647058823529
"843","feat_382_spec_2",382,186.07729,6.81,13,626,"NP-019722",186.07729,6.81,FALSE,NA,"F382_S2","NP-019722
186.08 m/z @ 6.81 min",NA,29,3.98039215686275
"844","feat_382_spec_3",382,186.07729,6.81,16,626,"NP-019722",186.07729,6.81,FALSE,NA,"F382_S3","NP-019722
186.08 m/z @ 6.81 min",NA,28,4.27450980392157
"845","feat_382_spec_4",382,186.07729,6.81,12,626,"NP-019722",186.07729,6.81,FALSE,NA,"F382_S4","NP-019722
186.08 m/z @ 6.81 min",NA,29,3.88235294117647
"848","feat_383_spec_1",383,186.07728,6.557,28,422,"NP-019722",186.07728,6.557,FALSE,NA,"F383_S1","NP-019722
186.08 m/z @ 6.56 min",NA,28,5.45098039215686
"849","feat_383_spec_2",383,186.07728,6.557,13,422,"NP-019722",186.07728,6.557,FALSE,NA,"F383_S2","NP-019722
186.08 m/z @ 6.56 min",NA,29,3.98039215686275
"850","feat_383_spec_3",383,186.07728,6.557,23,422,"NP-019722",186.07728,6.557,FALSE,NA,"F383_S3","NP-019722
186.08 m/z @ 6.56 min",NA,28,4.96078431372549
"851","feat_383_spec_4",383,186.07728,6.557,11,422,"NP-019722",186.07728,6.557,FALSE,NA,"F383_S4","NP-019722
186.08 m/z @ 6.56 min",NA,29,3.7843137254902
"852","feat_383_spec_5",383,186.07728,6.557,15,422,"NP-019722",186.07728,6.557,FALSE,NA,"F383_S5","NP-019722
186.08 m/z @ 6.56 min",NA,28,4.17647058823529
"853","feat_383_spec_6",383,186.07728,6.557,11,422,"NP-019722",186.07728,6.557,FALSE,NA,"F383_S6","NP-019722
186.08 m/z @ 6.56 min",NA,29,3.7843137254902
"854","feat_383_spec_7",383,186.07728,6.557,15,422,"NP-019722",186.07728,6.557,FALSE,NA,"F383_S7","NP-019722
186.08 m/z @ 6.56 min",NA,28,4.17647058823529
"855","feat_383_spec_8",383,186.07728,6.557,10,422,"NP-019722",186.07728,6.557,FALSE,NA,"F383_S8","NP-019722
186.08 m/z @ 6.56 min",NA,29,3.68627450980392
"863","feat_384_spec_1",384,187.00149,9.193,23,1965,NA,187.00149,9.193,FALSE,NA,"F384_S1","Feature 384
187 m/z @ 9.19 min",NA,2,4.96078431372549
"864","feat_384_spec_2",384,187.00149,9.193,9,1965,NA,187.00149,9.193,FALSE,NA,"F384_S2","Feature 384
187 m/z @ 9.19 min",NA,2,3.58823529411765
